Probe,Female CBZ C1,Female CBZ C2,Female CBZ C3,Female CBZ L1,Female CBZ L2,Female CBZ  L3,Female CBZ H1,Female CBZ H2,Female CBZ H3
A_15_P100412,0,0,0,1,1,1,1,1,1
A_15_P100413,0,0,0,1,1,1,1,1,1
A_15_P100415,0,0,0,1,1,1,1,1,1
A_15_P100416,0,0,0,1,1,1,1,1,1
A_15_P100417,0,0,0,1,1,1,1,1,1
A_15_P100418,0,0,0,1,1,1,1,1,1
A_15_P100420,0,0,0,1,1,1,1,1,1
A_15_P100423,0,0,0,1,1,1,1,1,1
A_15_P100428,0,0,0,1,1,1,1,1,1
A_15_P100431,0,0,0,1,1,1,1,1,1
A_15_P100432,0,0,0,1,1,1,1,1,1
A_15_P100433,0,0,0,1,1,1,1,1,1
A_15_P100435,0,0,0,1,1,1,1,1,1
A_15_P100436,0,0,0,1,1,1,1,1,1
A_15_P100437,0,0,0,1,1,1,1,1,1
A_15_P100439,0,0,0,1,1,1,1,1,1
A_15_P100441,0,0,0,1,1,1,1,1,1
A_15_P100442,0,0,0,1,1,1,1,1,1
A_15_P100445,0,0,0,1,1,1,1,1,1
A_15_P100447,0,0,0,1,1,1,1,1,1
A_15_P100449,0,0,0,1,1,1,1,1,1
A_15_P100451,0,0,0,1,1,1,1,1,1
A_15_P100452,0,0,0,1,1,1,1,1,1
A_15_P100455,0,0,0,1,1,1,1,1,1
A_15_P100456,0,0,0,1,1,1,1,1,1
A_15_P100457,0,0,0,1,1,1,1,1,1
A_15_P100462,0,0,0,1,1,1,1,1,1
A_15_P100466,0,0,0,1,1,1,1,1,1
A_15_P100467,0,0,0,1,1,1,1,1,1
A_15_P100468,0,0,0,1,1,1,1,1,1
A_15_P100470,0,0,0,1,1,1,1,1,1
A_15_P100471,0,0,0,1,1,1,1,1,1
A_15_P100472,0,0,0,1,1,1,1,1,1
A_15_P100473,0,0,0,1,1,1,1,1,1
A_15_P100479,0,0,0,1,1,1,1,1,1
A_15_P100480,0,0,0,1,1,1,1,1,1
A_15_P100482,0,0,0,1,1,1,1,1,1
A_15_P100484,0,0,0,1,1,1,1,1,1
A_15_P100486,0,0,0,1,1,1,1,1,1
A_15_P100489,0,0,0,1,1,1,1,1,1
A_15_P100492,0,0,0,1,1,1,1,1,1
A_15_P100493,0,0,0,1,1,1,1,1,1
A_15_P100495,0,0,0,1,1,1,1,1,1
A_15_P100501,0,0,0,1,1,1,1,1,1
A_15_P100502,0,0,0,1,1,1,1,1,1
A_15_P100506,0,0,0,1,1,1,1,1,1
A_15_P100507,0,0,0,1,1,1,1,1,1
A_15_P100510,0,0,0,1,1,1,1,1,1
A_15_P100516,0,0,0,1,1,1,1,1,1
